title,total_price,price_per_sqm,district,area,layout,floor,year_built,decoration,orientation,has_elevator,subway_distance,rooms,halls,baths,current_floor,total_floors,floor_ratio,house_age
房源0,458.4,24997.0,高新区,183.4,1室2厅1卫,26/18,2002.0,毛坯,西,无,345.0,1.0,2.0,1.0,26.0,18.0,1.4444444444444444,22.0
房源1,309.5,22623.0,金牛区,136.8,3室2厅1卫,21/4,2017.0,毛坯,东南,无,827.0,3.0,2.0,1.0,21.0,4.0,5.25,7.0
房源2,265.1,18298.0,龙泉驿区,144.9,4室1厅2卫,8/20,1991.0,精装,西,有,105.0,4.0,1.0,2.0,8.0,20.0,0.4,33.0
房源3,108.5,14765.0,金牛区,73.5,4室1厅2卫,14/12,1999.0,毛坯,北,有,2550.0,4.0,1.0,2.0,14.0,12.0,1.1666666666666667,25.0
房源4,260.3,21491.0,青羊区,121.1,1室2厅2卫,22/21,2011.0,精装,西,有,152.0,1.0,2.0,2.0,22.0,21.0,1.0476190476190477,13.0
房源5,314.5,19967.0,金牛区,157.5,2室2厅1卫,27/18,2002.0,简装,南,无,255.0,2.0,2.0,1.0,27.0,18.0,1.5,22.0
房源6,203.6,22476.0,高新区,90.6,2室2厅1卫,11/29,1998.0,毛坯,西北,有,714.5,2.0,2.0,1.0,11.0,29.0,0.3793103448275862,26.0
房源7,170.0,21176.0,青羊区,80.3,3室1厅1卫,28/8,2022.0,简装,西,有,1444.0,3.0,1.0,1.0,28.0,8.0,3.5,2.0
房源8,225.7,23248.0,龙泉驿区,97.1,3室1厅2卫,2/25,2003.0,精装,东南,有,966.0,3.0,1.0,2.0,2.0,25.0,0.08,21.0
房源9,132.1,15324.0,锦江区,86.2,3室2厅1卫,15/9,2009.0,简装,西南,有,264.0,3.0,2.0,1.0,15.0,9.0,1.6666666666666667,15.0
房源10,202.1,24587.0,天府新区,82.2,4室2厅2卫,19/20,2004.0,简装,西南,有,714.5,4.0,2.0,2.0,19.0,20.0,0.95,20.0
房源11,215.9,18988.0,青羊区,113.7,3室1厅1卫,8/25,2021.0,精装,西北,无,1415.0,3.0,1.0,1.0,8.0,25.0,0.32,3.0
房源12,528.4,28376.0,双流区,186.2,1室2厅1卫,19/5,2022.0,简装,东,有,4214.0,1.0,2.0,1.0,19.0,5.0,3.8,2.0
房源13,183.5,14554.0,高新区,126.1,2室2厅1卫,11/15,2006.0,简装,西北,无,1660.0,2.0,2.0,1.0,11.0,15.0,0.7333333333333333,18.0
房源14,208.6,26680.0,青羊区,78.2,3室1厅2卫,8/19,2013.0,简装,东北,有,617.0,3.0,1.0,2.0,8.0,19.0,0.42105263157894735,11.0
房源15,116.8,18990.0,青羊区,61.5,1室2厅1卫,23/27,2019.0,毛坯,西,有,2341.0,1.0,2.0,1.0,23.0,27.0,0.8518518518518519,5.0
房源16,227.6,14743.0,双流区,154.4,2室1厅1卫,8/26,2002.0,简装,西南,有,527.0,2.0,1.0,1.0,8.0,26.0,0.3076923076923077,22.0
房源17,167.3,15581.0,龙泉驿区,107.4,2室1厅1卫,27/19,2005.0,精装,西北,有,744.0,2.0,1.0,1.0,27.0,19.0,1.4210526315789473,19.0
房源18,284.2,16398.0,青羊区,173.3,1室1厅1卫,18/10,1991.0,毛坯,西,无,648.0,1.0,1.0,1.0,18.0,10.0,1.8,33.0
房源19,299.6,20121.0,天府新区,148.9,3室1厅2卫,29/7,2006.0,毛坯,东北,无,594.0,3.0,1.0,2.0,29.0,7.0,4.142857142857143,18.0
房源20,349.2,20614.0,金牛区,169.4,4室1厅1卫,28/9,2021.0,精装,西南,有,1493.0,4.0,1.0,1.0,28.0,9.0,3.111111111111111,3.0
房源21,137.4,15131.0,龙泉驿区,90.8,3室2厅2卫,1/19,1997.0,简装,东北,有,748.0,3.0,2.0,2.0,1.0,19.0,0.05263157894736842,27.0
房源22,275.1,17878.0,天府新区,153.9,3室2厅1卫,5/19,1992.0,毛坯,西,有,381.0,3.0,2.0,1.0,5.0,19.0,0.2631578947368421,32.0
房源23,257.3,28711.0,龙泉驿区,89.6,1室1厅1卫,1/15,2001.0,毛坯,东南,无,299.0,1.0,1.0,1.0,1.0,15.0,0.06666666666666667,23.0
房源24,508.5,26638.0,天府新区,190.9,4室2厅1卫,16/23,2009.0,毛坯,西,无,38.0,4.0,2.0,1.0,16.0,23.0,0.6956521739130435,15.0
房源25,293.6,20182.0,高新区,145.5,2室2厅1卫,7/26,2005.0,简装,西北,无,875.0,2.0,2.0,1.0,7.0,26.0,0.2692307692307692,19.0
房源26,179.5,18190.0,天府新区,98.7,4室1厅1卫,12/8,2003.0,毛坯,东北,有,261.0,4.0,1.0,1.0,12.0,8.0,1.5,21.0
房源27,168.1,18600.0,成华区,90.4,3室1厅2卫,5/10,2005.0,精装,东南,有,160.0,3.0,1.0,2.0,5.0,10.0,0.5,19.0
房源28,165.6,21068.0,天府新区,78.6,3室2厅1卫,28/21,2022.0,简装,东南,有,1061.0,3.0,2.0,1.0,28.0,21.0,1.3333333333333333,2.0
房源29,198.7,12886.0,锦江区,154.2,3室2厅1卫,5/17,2019.0,精装,东,有,1143.0,3.0,2.0,1.0,5.0,17.0,0.29411764705882354,5.0
房源30,138.4,16713.0,锦江区,82.8,4室2厅1卫,26/5,2001.0,精装,西南,有,1395.0,4.0,2.0,1.0,26.0,5.0,5.2,23.0
房源31,134.5,9657.0,温江区,139.3,1室1厅1卫,22/15,2004.0,毛坯,南,有,700.0,1.0,1.0,1.0,22.0,15.0,1.4666666666666666,20.0
房源32,179.4,19996.0,成华区,89.7,3室1厅2卫,13/28,2007.0,毛坯,东南,有,714.5,3.0,1.0,2.0,13.0,28.0,0.4642857142857143,17.0
房源33,317.1,21236.0,成华区,149.3,2室1厅2卫,1/11,2017.0,毛坯,东北,无,2754.0,2.0,1.0,2.0,1.0,11.0,0.09090909090909091,7.0
房源34,268.4,15584.0,金牛区,172.2,4室1厅1卫,23/1,2012.0,精装,西南,无,1647.0,4.0,1.0,1.0,23.0,1.0,23.0,12.0
房源35,431.3,25870.0,成华区,166.7,4室1厅2卫,11/18,2003.0,简装,北,有,1009.0,4.0,1.0,2.0,11.0,18.0,0.6111111111111112,21.0
房源36,194.8,11871.0,金牛区,164.1,3室2厅2卫,18/21,2019.0,毛坯,西,有,362.0,3.0,2.0,2.0,18.0,21.0,0.8571428571428571,5.0
房源37,83.5,10678.0,温江区,78.2,4室2厅1卫,26/16,2022.0,毛坯,西北,有,4071.0,4.0,2.0,1.0,26.0,16.0,1.625,2.0
房源38,121.0,19122.0,温江区,63.3,1室2厅2卫,13/7,2004.0,精装,东北,无,320.0,1.0,2.0,2.0,13.0,7.0,1.8571428571428572,20.0
房源39,359.7,23235.0,高新区,154.8,1室1厅2卫,1/26,1996.0,简装,北,无,226.0,1.0,1.0,2.0,1.0,26.0,0.038461538461538464,28.0
房源40,278.2,26420.0,锦江区,105.3,2室2厅2卫,16/1,2004.0,精装,东北,无,584.0,2.0,2.0,2.0,16.0,1.0,16.0,20.0
房源41,180.5,15706.0,天府新区,114.9,2室1厅2卫,17/6,2000.0,毛坯,西,无,59.0,2.0,1.0,2.0,17.0,6.0,2.8333333333333335,24.0
房源42,128.0,23393.0,天府新区,54.7,1室1厅1卫,2/17,2018.0,精装,东,有,3839.0,1.0,1.0,1.0,2.0,17.0,0.11764705882352941,6.0
房源43,158.3,17807.0,双流区,88.9,2室1厅1卫,6/14,2006.0,毛坯,东北,有,888.0,2.0,1.0,1.0,6.0,14.0,0.42857142857142855,18.0
房源44,94.4,17137.0,双流区,55.1,3室1厅2卫,18/6,2014.0,简装,东南,有,814.0,3.0,1.0,2.0,18.0,6.0,3.0,10.0
房源45,407.8,22418.0,武侯区,181.9,2室1厅1卫,10/24,2013.0,精装,南,有,1067.0,2.0,1.0,1.0,10.0,24.0,0.4166666666666667,11.0
房源46,183.9,21262.0,龙泉驿区,86.5,2室2厅2卫,18/27,2008.0,毛坯,东南,无,687.0,2.0,2.0,2.0,18.0,27.0,0.6666666666666666,16.0
房源47,135.2,10118.0,高新区,133.6,3室2厅1卫,9/8,1991.0,毛坯,西,有,714.5,3.0,2.0,1.0,9.0,8.0,1.125,33.0
房源48,141.6,25383.0,武侯区,55.8,1室2厅1卫,28/10,2011.0,毛坯,东北,有,948.0,1.0,2.0,1.0,28.0,10.0,2.8,13.0
房源49,373.5,24900.0,武侯区,150.0,4室1厅2卫,17/23,2009.0,毛坯,南,有,1259.0,4.0,1.0,2.0,17.0,23.0,0.7391304347826086,15.0
房源50,146.5,14872.0,青羊区,98.5,3室1厅2卫,29/26,2022.0,精装,东南,无,539.0,3.0,1.0,2.0,29.0,26.0,1.1153846153846154,2.0
房源51,369.0,19979.0,青羊区,184.7,4室2厅2卫,6/14,1997.0,毛坯,南,有,1416.0,4.0,2.0,2.0,6.0,14.0,0.42857142857142855,27.0
房源52,375.0,20470.0,武侯区,183.2,1室2厅2卫,22/22,2014.0,精装,西北,有,257.0,1.0,2.0,2.0,22.0,22.0,1.0,10.0
房源53,190.7,19303.0,成华区,98.8,1室2厅2卫,6/26,1998.0,毛坯,西,有,250.0,1.0,2.0,2.0,6.0,26.0,0.23076923076923078,26.0
房源54,282.2,15248.0,龙泉驿区,185.1,3室2厅2卫,7/12,2012.0,精装,东,有,176.0,3.0,2.0,2.0,7.0,12.0,0.5833333333333334,12.0
房源55,292.0,14642.0,高新区,199.4,2室2厅2卫,3/14,1994.0,精装,东,有,465.0,2.0,2.0,2.0,3.0,14.0,0.21428571428571427,30.0
房源56,310.6,17872.0,武侯区,173.8,4室1厅2卫,22/19,2014.0,毛坯,东北,无,1877.0,4.0,1.0,2.0,22.0,19.0,1.1578947368421053,10.0
房源57,421.7,23864.0,天府新区,176.7,1室1厅1卫,23/16,1997.0,毛坯,东南,有,1760.0,1.0,1.0,1.0,23.0,16.0,1.4375,27.0
房源58,181.1,20718.0,龙泉驿区,87.4,1室2厅2卫,7/8,2005.0,毛坯,北,无,483.0,1.0,2.0,2.0,7.0,8.0,0.875,19.0
房源59,220.4,16147.0,青羊区,136.5,2室1厅2卫,18/25,2006.0,毛坯,西,有,889.0,2.0,1.0,2.0,18.0,25.0,0.72,18.0
房源60,131.4,21858.0,天府新区,60.1,2室2厅1卫,13/21,1990.0,简装,东南,有,714.5,2.0,2.0,1.0,13.0,21.0,0.6190476190476191,34.0
