title,total_price,price_per_sqm,district,area,layout,floor,year_built,decoration,orientation,has_elevator,subway_distance,rooms,halls,baths,current_floor,total_floors,floor_ratio,house_age,hospital_distance,school_distance,is_near_hospital,is_near_school,is_near_subway
房源0,458.4,24997.0,高新区,183.4,1室2厅1卫,26/18,2002.0,毛坯,西,无,674,1.0,2.0,1.0,26.0,18.0,1.4444444444444444,22.0,1360,2057,True,False,True
房源1,309.5,22623.0,金牛区,136.8,3室2厅1卫,21/4,2017.0,毛坯,东南,无,1708,3.0,2.0,1.0,21.0,4.0,5.25,7.0,4272,1204,False,True,False
房源2,265.1,18298.0,龙泉驿区,144.9,4室1厅2卫,8/20,1991.0,精装,西,有,1212,4.0,1.0,2.0,8.0,20.0,0.4,33.0,3592,3597,False,False,False
房源3,108.5,14765.0,金牛区,73.5,4室1厅2卫,14/12,1999.0,毛坯,北,有,787,4.0,1.0,2.0,14.0,12.0,1.1666666666666667,25.0,966,1376,True,True,True
房源4,260.3,21491.0,青羊区,121.1,1室2厅2卫,22/21,2011.0,精装,西,有,2928,1.0,2.0,2.0,22.0,21.0,1.0476190476190477,13.0,4926,3287,False,False,False
房源5,314.5,19967.0,金牛区,157.5,2室2厅1卫,27/18,2002.0,简装,南,无,2732,2.0,2.0,1.0,27.0,18.0,1.5,22.0,3944,2190,False,False,False
房源6,203.6,22476.0,高新区,90.6,2室2厅1卫,11/29,1998.0,毛坯,西北,有,2736,2.0,2.0,1.0,11.0,29.0,0.3793103448275862,26.0,3671,1823,False,False,False
房源7,170.0,21176.0,青羊区,80.3,3室1厅1卫,28/8,2022.0,简装,西,有,588,3.0,1.0,1.0,28.0,8.0,3.5,2.0,3419,3877,False,False,True
房源8,225.7,23248.0,龙泉驿区,97.1,3室1厅2卫,2/25,2003.0,精装,东南,有,1447,3.0,1.0,2.0,2.0,25.0,0.08,21.0,630,3201,True,False,False
房源9,132.1,15324.0,锦江区,86.2,3室2厅1卫,15/9,2009.0,简装,西南,有,593,3.0,2.0,1.0,15.0,9.0,1.6666666666666667,15.0,2185,1687,False,False,True
房源10,202.1,24587.0,天府新区,82.2,4室2厅2卫,19/20,2004.0,简装,西南,有,1767,4.0,2.0,2.0,19.0,20.0,0.95,20.0,1269,1603,True,False,False
房源11,215.9,18988.0,青羊区,113.7,3室1厅1卫,8/25,2021.0,精装,西北,无,1737,3.0,1.0,1.0,8.0,25.0,0.32,3.0,2891,892,False,True,False
房源12,528.4,28376.0,双流区,186.2,1室2厅1卫,19/5,2022.0,简装,东,有,118,1.0,2.0,1.0,19.0,5.0,3.8,2.0,2933,3061,False,False,True
房源13,183.5,14554.0,高新区,126.1,2室2厅1卫,11/15,2006.0,简装,西北,无,2544,2.0,2.0,1.0,11.0,15.0,0.7333333333333333,18.0,1684,3529,True,False,False
房源14,208.6,26680.0,青羊区,78.2,3室1厅2卫,8/19,2013.0,简装,东北,有,1100,3.0,1.0,2.0,8.0,19.0,0.4210526315789473,11.0,3885,2979,False,False,False
房源15,116.8,18990.0,青羊区,61.5,1室2厅1卫,23/27,2019.0,毛坯,西,有,950,1.0,2.0,1.0,23.0,27.0,0.8518518518518519,5.0,4617,2406,False,False,True
房源16,227.6,14743.0,双流区,154.4,2室1厅1卫,8/26,2002.0,简装,西南,有,1488,2.0,1.0,1.0,8.0,26.0,0.3076923076923077,22.0,3404,427,False,True,False
房源17,167.3,15581.0,龙泉驿区,107.4,2室1厅1卫,27/19,2005.0,精装,西北,有,1454,2.0,1.0,1.0,27.0,19.0,1.4210526315789471,19.0,974,1035,True,True,False
房源18,284.2,16398.0,青羊区,173.3,1室1厅1卫,18/10,1991.0,毛坯,西,无,1467,1.0,1.0,1.0,18.0,10.0,1.8,33.0,1582,3068,True,False,False
房源19,299.6,20121.0,天府新区,148.9,3室1厅2卫,29/7,2006.0,毛坯,东北,无,921,3.0,1.0,2.0,29.0,7.0,4.142857142857143,18.0,3058,3486,False,False,True
房源20,349.2,20614.0,金牛区,169.4,4室1厅1卫,28/9,2021.0,精装,西南,有,554,4.0,1.0,1.0,28.0,9.0,3.111111111111111,3.0,2547,3580,False,False,True
房源21,137.4,15131.0,龙泉驿区,90.8,3室2厅2卫,1/19,1997.0,简装,东北,有,1724,3.0,2.0,2.0,1.0,19.0,0.0526315789473684,27.0,3247,2873,False,False,False
房源22,275.1,17878.0,天府新区,153.9,3室2厅1卫,5/19,1992.0,毛坯,西,有,2872,3.0,2.0,1.0,5.0,19.0,0.2631578947368421,32.0,1475,820,True,True,False
房源23,257.3,28711.0,龙泉驿区,89.6,1室1厅1卫,1/15,2001.0,毛坯,东南,无,810,1.0,1.0,1.0,1.0,15.0,0.0666666666666666,23.0,2306,2899,False,False,True
房源24,508.5,26638.0,天府新区,190.9,4室2厅1卫,16/23,2009.0,毛坯,西,无,2290,4.0,2.0,1.0,16.0,23.0,0.6956521739130435,15.0,689,536,True,True,False
房源25,293.6,20182.0,高新区,145.5,2室2厅1卫,7/26,2005.0,简装,西北,无,1016,2.0,2.0,1.0,7.0,26.0,0.2692307692307692,19.0,3234,1604,False,False,False
